# File Name: RAWCHECK.txt
# File Size: 3169983     
# File Date: 03/30/2021 19:33:21
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: http://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2021
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: http://www.AionianBible.org/Publisher
# Publisher Mission: http://www.AionianBible.org/Preface
# Publisher Website: http://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	INDEX	BOOK	CHAPTER	VERSE	RAWFIX	TEXT	ORIGINAL
Holy-Bible---Albanian-Tosk---Albanian-Bible	005	DEU	002	019	MODIFY	por duke iu afruar bijve të Amonit, mos i sulmo dhe mos u shpall luftë, sepse unë nuk do të jap asnjë pjesë të vendit të bijve të Amonit si trashëgimi, sepse ua kam dhënë bijve të Lotit si pronë të tyre”.	aaa up to 37 por duke iu afruar bijve të Amonit, mos i sulmo dhe mos u shpall luftë, sepse unë nuk do të jap asnjë pjesë të vendit të bijve të Amonit si trashëgimi, sepse ua kam dhënë bijve të Lotit si pronë të tyre”.
Holy-Bible---Albanian-Tosk---Albanian-Bible	047	2CO	013	012	MODIFY	Përshëndetni njeri tjetrin me një puthje të shenjtë,	Përshëndetni njeri tjetrin me një puthje të shenjtë, të gjithë shenjtorët ju përshëndesin.
Holy-Bible---Albanian-Tosk---Albanian-Bible	047	2CO	013	013	MODIFY	të gjithë shenjtorët ju përshëndesin.	Hiri i Zotit Jezu Krisht, dashuria e Perëndisë dhe bashkësia e Frymës së Shenjtë qofshin me ju të gjithë. Amen.
Holy-Bible---Albanian-Tosk---Albanian-Bible	047	2CO	013	014	MODIFY	Hiri i Zotit Jezu Krisht, dashuria e Perëndisë dhe bashkësia e Frymës së Shenjtë qofshin me ju të gjithë. Amen.	Pali, apostull (jo nga njerëzit, as me anë të njeriut, por nëpërmjet Jezu Krishtit dhe Perëndisë Atit, që e ringjalli prej së vdekurish),
Holy-Bible---Albanian-Tosk---Albanian-Bible	047	2CO	013	015	ADD	Pali, apostull (jo nga njerëzit, as me anë të njeriut, por nëpërmjet Jezu Krishtit dhe Perëndisë Atit, që e ringjalli prej së vdekurish),	
Holy-Bible---Albanian-Tosk---Albanian-Bible	058	HEB	007	008	MODIFY	Dhe, që të them kështu, vetë Levi, që merr të dhjetat, dha të dhjeta te Abrahami,	Dhe, që të them kështu, vetë Levi, që merr të dhjetat, dha të dhjeta te Abrahami, sepse ishte ende në mesin e t’et, kur Melkisedeku i doli përpara.
Holy-Bible---Albanian-Tosk---Albanian-Bible	058	HEB	007	009	MODIFY	sepse ishte ende në mesin e t’et, kur Melkisedeku i doli përpara.	Sepse, po të ishte përkryerja me anë të priftërisë levitike (sepse populli e mori ligji nën atë), ç’nevojë kishte të dilte një prift tjetër sipas rendit të Melkisedekut dhe të mos caktohet sipas rendit të Aaronit?
Holy-Bible---Albanian-Tosk---Albanian-Bible	058	HEB	007	010	MODIFY	Sepse, po të ishte përkryerja me anë të priftërisë levitike (sepse populli e mori ligji nën atë), ç’nevojë kishte të dilte një prift tjetër sipas rendit të Melkisedekut dhe të mos caktohet sipas rendit të Aaronit?	Sepse, po të ndërrohet priftëria, domosdo ndërrohet edhe ligji.
Holy-Bible---Albanian-Tosk---Albanian-Bible	058	HEB	007	011	MODIFY	Sepse, po të ndërrohet priftëria, domosdo ndërrohet edhe ligji.	Sepse ai për të cilin bëhet fjalë i përket një fisi tjetër, prej të cilit askush nuk i ka shërbyer ndonjëherë altarit;
Holy-Bible---Albanian-Tosk---Albanian-Bible	058	HEB	007	012	MODIFY	Sepse ai për të cilin bëhet fjalë i përket një fisi tjetër, prej të cilit askush nuk i ka shërbyer ndonjëherë altarit;	sepse dihet se Perëndia ynë lindi nga fisi i Judës, për të cilin Moisiu nuk tha asgjë lidhur me priftërinë.
